frame_id,time_ms,brow_head_l,brow_head_r,eyelid_open_l,eyelid_open_r,eye_h_attention_l,eye_h_attention_r,eye_v_attention_l,eye_v_attention_r,mouth_open,mouth_up_corner_l,mouth_up_corner_r,mouth_lip_upper_l,mouth_lip_upper_r,mouth_lip_lower,cheek_l,cheek_r
0,0,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
1,40,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2,80,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
3,120,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,-0.06,-0.06,-0.05,-0.05,-0.16,0.1,0.0
4,160,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.492,-0.036,-0.036,-0.022,-0.022,-0.08,0.1,0.0
5,200,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.484,-0.012,-0.012,0.006,0.006,0.0,0.1,0.0
6,240,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.476,0.012,0.012,0.034,0.034,0.08,0.1,0.0
7,280,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.468,0.036,0.036,0.062,0.062,0.16,0.1,0.0
8,320,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.46,0.06,0.06,0.09,0.09,0.24,0.1,0.0
9,360,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,-0.06,-0.06,-0.05,-0.05,-0.16,0.1,0.0
10,400,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.492,-0.036,-0.036,-0.022,-0.022,-0.08,0.1,0.0
11,440,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.484,-0.012,-0.012,0.006,0.006,0.0,0.1,0.0
12,480,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.476,0.012,0.012,0.034,0.034,0.08,0.1,0.0
13,520,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.468,0.036,0.036,0.062,0.062,0.16,0.1,0.0
14,560,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.46,0.06,0.06,0.09,0.09,0.24,0.1,0.0
15,600,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,-0.06,-0.06,-0.05,-0.05,-0.16,0.1,0.0
16,640,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.492,-0.036,-0.036,-0.022,-0.022,-0.08,0.1,0.0
17,680,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.484,-0.012,-0.012,0.006,0.006,0.0,0.1,0.0
18,720,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.476,0.012,0.012,0.034,0.034,0.08,0.1,0.0
19,760,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.468,0.036,0.036,0.062,0.062,0.16,0.1,0.0
20,800,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.46,0.06,0.06,0.09,0.09,0.24,0.1,0.0
21,840,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,-0.06,-0.06,-0.05,-0.05,-0.16,0.1,0.0
22,880,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.49,-0.03,-0.03,-0.015,-0.015,-0.06,0.1,0.0
23,920,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.48,0.0,0.0,0.02,0.02,0.04,0.1,0.0
24,960,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.36,0.0,0.0,0.015,0.015,0.03,0.1,0.0
25,1000,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.24,0.0,0.0,0.01,0.01,0.02,0.1,0.0
26,1040,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.0,0.0,0.005,0.005,0.01,0.1,0.0
27,1080,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
28,1120,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
29,1160,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
30,1200,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.16,0.22,0.22,0.04,0.04,0.06,0.1,0.0
31,1240,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.18,0.08,0.08,0.04,0.04,0.1,0.1,0.0
